words,resposta
custos,negativo
esclarecimentos,neutro
grupo,neutro
aprovar,positivo
desempenho,neutro
preferenciais,neutro
programa,neutro
parte,litigiosa
processo,litigiosa
comunica,neutro
meses,neutro
sede,neutro
sob,neutro
instrução cvm,neutro
quais,neutro
abaixo,neutro
reais,neutro
capital social,neutro
declarações,litigiosa
linhas,neutro
cada,neutro
aéreas,neutro
comissão valores,neutro
gerais,neutro
taxa,neutro
incorporação,neutro
desenvolvimento,neutro
recursos,neutro
acionista,neutro
todos,neutro
sociedade,neutro
financeiros,neutro
ofício,neutro
sistema,neutro
setor,neutro
presente,positivo
lojas,positivo
dividendos,positivo
finanças,positivo
projeções,positivo
índice,positivo
assembleia geral,litigiosa
ações preferenciais,positivo
novas,positivo
novos,positivo
comercial,positivo
nyse,positivo
executivo,positivo
bolsa valores,positivo
negócio,positivo
proposta,positivo
projetos,positivo
títulos,positivo
contratos,positivo
previsões,positivo
diretoria,positivo
reunião,positivo
recuperação,positivo
aberta cnpj,positivo
público,positivo
estimativas,positivo
objetivo,positivo
administradores,neutro
principais,positivo
qualidade,positivo
início,positivo
ltda,neutro
área,neutro
desde,neutro
pessoas,neutro
divulgado,positivo
receitas,positivo
segmento,neutro
próprio,positivo
mercados,neutro
atividades,neutro
brasileira,neutro
financeiro relações,neutro
apresentação,neutro
projeto,positivo
companhias,positivo
governança,neutro
atuais,neutro
cumprimento,positivo
estratégia,positivo
minas,neutro
melhor,positivo
incertezas,incerteza
remuneração,positivo
econômico,neutro
global,neutro
seguintes,neutro
membros,neutro
renda,positivo
futuras,incerteza
bruta,positivo
receita líquida,positivo
preços,positivo
documento,neutro
liquidação,positivo
aprovação,positivo
item,neutro
finanças relações,litigiosa
manutenção,neutro
comitê,neutro
referência,neutro
concessão,positivo
belo,positivo
patrimônio,positivo
contidas,neutro
rede,positivo
dessa,neutro
quantidade,neutro
ordinária,positivo
desta,neutro
espera,incerteza
conjunto,neutro
conta,neutro
acesso,positivo
grande,positivo
inteligentes,positivo
efeitos,neutro
estatuto,litigiosa
nire comunicado,neutro
mudanças,incerteza
ações emissão,positivo
cep,neutro
evolução,positivo
sobre capital,neutro
bilhão,positivo
agência,positivo
acionária,positivo
comunica acionistas,positivo
cargo,neutro
aérea,positivo
últimos,neutro
durante,neutro
notas,neutro
nível,positivo
sep,neutro
solicitação,neutro
valores mercadorias,positivo
oferta pública,positivo
sociedades,neutro
linha,positivo
voto,positivo
unidade,positivo
relevantes,neutro
imprensa,neutro
comerciais,positivo
capital próprio,positivo
juros sobre,positivo
alterada lei,litigiosa
mundo,incerteza
gerente,positivo
veiculada,neutro
destaques,positivo
alienação,litigiosa
var,incerteza
principalmente,neutro
possui,positivo
nota,positivo
vencimento,positivo
energética,neutro
horizonte,incerteza
cliente,positivo
consolidado,positivo
atenciosamente,positivo
superior,positivo
aviso,neutro
vez,incerteza
geral extraordinária,litigiosa
capitais,positivo
obrigações,positivo
perspectivas,incerteza
similares,neutro
líder,positivo
controladas,positivo
senhores,neutro
fluxo,positivo
referentes,neutro
potencial,positivo
serviço,positivo
unidos,positivo
emissora,neutro
aneel,litigiosa
disponíveis,positivo
superintendência,neutro
transação,neutro
fim,neutro
rio petróleo,neutro
primeira,neutro
práticas,neutro
previsto,incerteza
emitidas,neutro
campos,neutro
conter,neutro
fatos,neutro
economia,neutro
seguros,neutro
europa,neutro
esclarecimentos sobre,neutro
créditos,neutro
composição,neutro
patrimônio líquido,neutro
gente,neutro
efeito,neutro
foco,neutro
resultados futuros,incerteza
refletem,neutro
âmbito,neutro
frota,neutro
federal,neutro
mercadorias futuros,incerteza
jornal,neutro
óleo,neutro
latina,neutro
modelo,neutro
diferir,incerteza
antecipa,incerteza
notícia veiculada,neutro
societária,neutro
atuação,neutro
garantia,neutro
pessoa,neutro
varejo,neutro
natural,neutro
fiscal,litigiosa
todo,neutro
dívida líquida,negativo
toneladas,neutro
shopping,neutro
governança corporativa,positivo
aviação,incerteza
teleconferência,positivo
cerca,neutro
conclusão,positivo
código,neutro
financiamento,positivo
análise,positivo
principal,positivo
indústria,neutro
recuperação judicial,litigiosa
totalidade,neutro
função,neutro
atualmente,neutro
imposto,negativo
internacionais,neutro
legislação,litigiosa
mesma,neutro
vale,positivo
demonstrações financeiras,positivo
fins,neutro
nominal,neutro
título,neutro
contábeis,neutro
podem diferir,incerteza
política,litigiosa
instituição,positivo
oportunidades,positivo
pode conter,incerteza
total ações,neutro
ciclo,neutro
parágrafo,neutro
real,neutro
passageiros,neutro
outras informações,neutro
edital,neutro
atuais expectativas,incerteza
sustentabilidade,positivo
saldo,neutro
envolvem riscos,incerteza
objetiva,neutro
fundos,neutro
importantes,positivo
tesouraria,neutro
membro,neutro
provisão,neutro
assunto,neutro
pedidos,neutro
art,neutro
relacionamento,neutro
sido,neutro
partes,neutro
telecom,neutro
novo mercado,positivo
revisão,neutro
segue,neutro
baixo,negativo
fechamento,neutro
participantes,neutro
amortização,neutro
azul,neutro
diretor presidente,positivo
realizadas,positivo
gás natural,neutro
seguinte,neutro
melhores,positivo
aumento capital,positivo
porto,neutro
nire aberta,neutro
mobiliários cvm,neutro
alta,positivo
continuidade,neutro
menor,negativo
impacto,neutro
central,neutro
diretor finanças,positivo
junto,neutro
instituições,neutro
lançamentos,neutro
destinos,neutro
margem ebitda,neutro
considerações,neutro
referente,neutro
estatuto social,neutro
relações empresas,neutro
segurança,positivo
página,neutro
comunicação,positivo
uso,neutro
aquisição ações,positivo
razão,neutro
ativo,neutro
avenida,neutro
planos,positivo
local,neutro
bruto,neutro
parcela,neutro
contato,neutro
esclarece,positivo
portanto resultados,positivo
controladores,neutro
reserva,neutro
inscrita,neutro
espera prevê,incerteza
ocupação,neutro
termos similares,neutro
tecnologia,positivo
subsidiária,neutro
disponível,positivo
portfólio,neutro
recebeu,positivo
ifrs,neutro
industrial,positivo
rejeitar,negativo
auditoria,neutro
ebitda ajustado,positivo
prevê pretende,incerteza
tráfego,positivo
considera,positivo
marca,positivo
fluxo caixa,positivo
veículos,positivo
endividamento,negativo
países,neutro
corretora,positivo
contas,neutro
imposto renda,negativo
ambiente,neutro
regras,neutro
basear,positivo
liquidez,positivo
pagos,positivo
região,neutro
aprovou,positivo
capitalização,positivo
áreas,neutro
holding,positivo
circulação,positivo
criação,positivo
residencial,positivo
administrativas,positivo
consumidores,neutro
forte,positivo
conhecimento,positivo
fundo,positivo
econômica,positivo
especial,positivo
aplicável,neutro
república,neutro
jatos,positivo
informações aqui,neutro
relatório,neutro
baixa,negativo
aplicação,positivo
comparação,neutro
responsável,positivo
valor econômico,positivo
patrimonial,positivo
leitor,neutro
anexo,neutro
prejuízo,negativo
prezados,positivo
autorizado,positivo
convocação,positivo
executiva,positivo
processos,litigiosa
tais previsões,incerteza
resposta,neutro
outros termos,neutro
diretor executivo,positivo
bem outros,neutro
negociadas,positivo
câmbio,neutro
termos instrução,positivo
mercado capitais,positivo
saneamento,positivo
parceria,positivo
exclusivamente informações,neutro
favor,positivo
disposição,positivo
acompanhamento,positivo
refletem apenas,neutro
valor nominal,positivo
basear exclusivamente,negativo
realizado,positivo
apenas expectativas,incerteza
anuncia,positivo
sistemas,neutro
incertezas previstos,incerteza
evidentemente,neutro
independentes,positivo
indicadores,neutro
identificar tais,positivo
gea,incerteza
expectativas administradores,positivo
futuros operações,incerteza
evidentemente envolvem,positivo
visam identificar,positivo
ajustes,neutro
expectativas leitor,neutro
campo,neutro
referido,neutro
somente,positivo
deverá bem,positivo
prezados senhores,neutro
eventos futuros,incerteza
legais,litigiosa
similares visam,positivo
subsidiárias,neutro
voos,positivo
reservas,positivo
presença,positivo
disposto instrução,litigiosa
taxa ocupação,positivo
administradores termos,positivo
logística,neutro
empregados,positivo
atingiu,positivo
própria,positivo
experiência,positivo
cenário,incerteza
impostos,litigiosa
governo,neutro
artigo instrução,litigiosa
aprovada,positivo
performance,positivo
segmentos,neutro
prestação,positivo
terceiros,neutro
centro,neutro
ordinárias emissão,neutro
titulares,neutro
relacionados,neutro
alterações,neutro
tarifa,neutro
papel,neutro
tempo,neutro
incluem,neutro
rap,neutro
máximo,neutro
representando,neutro
comercialização,neutro
pessoal,neutro
transporte,neutro
queda,negativo
procedimentos,neutro
aquisições,positivo
brasileiras,neutro
divulgados,neutro
interno,neutro
previdência,positivo
integral,positivo
balcão,neutro
interesse,positivo
notes,neutro
independente,positivo
resultados operacionais,positivo
manterá,positivo
assentos,neutro
disposições,neutro
segunda,neutro
participação acionária,positivo
superintendência relações,positivo
horário,neutro
ocorrer,neutro
balanço,neutro
perdas,negativo
relativos,neutro
conformidade,positivo
energética minas,neutro
empréstimos,positivo
abertura,positivo
aberta comunicado,neutro
administrativo,neutro
publicação,neutro
capital autorizado,positivo
centavos,neutro
decorrentes,neutro
única,positivo
apresentou,neutro
necessários,positivo
utilização,positivo
financiamentos,neutro
vem público,positivo
celulose,neutro
transferência,positivo
representa,positivo
regulamento,neutro
itens,neutro
membros conselho,neutro
responsabilidade,neutro
contribuição,positivo
previstas,positivo
controlador,neutro
equipe,neutro
plataforma,neutro
cnpj aberta,neutro
administrativa,neutro
nome,neutro
retorno,positivo
cidades,neutro
resultado financeiro,positivo
último,positivo
categoria,neutro
aprovado,positivo
próximos,neutro
informados,positivo
respectivos,neutro
informações sobre,neutro
prospectivas,positivo
divulgadas,positivo
eventual,incerteza
importante,positivo
carteira crédito,positivo
relativas,neutro
infraestrutura,neutro
informações petróleo,neutro
via,neutro
volumes,positivo
decorrência,neutro
menos,negativo
recebimento,positivo
disso,incerteza
nire fato,incerteza
informado,neutro
livre,positivo
melhoria,positivo
website,negativo
adicional,positivo
estratégico,positivo
trabalho,positivo
outro,neutro
controlada,positivo
disposto artigo,litigiosa
depreciação,negativo
investidor,positivo
procedimento,litigiosa
implementação,positivo
senhor,neutro
mesmas,neutro
tabela,neutro
taxas,neutro
exercício direito,litigiosa
normas,neutro
abl,positivo
líquidas,positivo
conselho fiscal,positivo
blackrock,neutro
horas,neutro
natureza,neutro
planejamento,positivo
gwh,neutro
receber,positivo
detidas,litigiosa
consideradas,neutro
saúde,neutro
totais,positivo
anteriormente,neutro
encerramento,positivo
percentual,neutro
usinas,neutro
primeiro trimestre,neutro
manter,positivo
moeda,neutro
ato,litigiosa
aberta capital,positivo
significado,positivo
derivativos,neutro
outra,neutro
funcionários,positivo
conselheiros,positivo
acionistas controladores,positivo
marcas,positivo
industriais,positivo
negociação valores,positivo
legal,litigiosa
curto,neutro
direta,positivo
firmes,positivo
alto,positivo
combustível,neutro
artigo lei,litigiosa
comunicar,positivo
divulgada,positivo
obrigação,litigiosa
bacia,neutro
realizados,positivo
existentes,neutro
união,neutro
afirmações,positivo
atualização,positivo
substancialmente,positivo
física,neutro
acumulado,positivo
digital,positivo
oriente,positivo
ajuste,positivo
rentabilidade,positivo
estoque,neutro
limite,neutro
diretores,neutro
endereço,neutro
contratação,neutro
atua,neutro
release,neutro
cronograma,neutro
depósitos,positivo
diferentes,neutro
transações,neutro
reunião conselho,neutro
produto,positivo
atos,litigiosa
bloco,neutro
assinatura,neutro
doméstico,positivo
evento,positivo
cumprimento disposto,positivo
direito voto,positivo
benefícios,positivo
realty,neutro
apresentados,positivo
margem financeira,positivo
contra,negativo
andar,neutro
mundial,neutro
eleição,positivo
bancos,positivo
cade,litigiosa
entrada,positivo
líquida ebitda,positivo
equipamentos,positivo
emitidos,positivo
continua,neutro
regulamentação,litigiosa
atendimento disposto,positivo
cálculo,positivo
contábil,positivo
grandes,positivo
milhares,positivo
oferece,positivo
manifestação,litigiosa
conversíveis,positivo
pontos,positivo
termo,positivo
jornal valor,neutro
pagamentos,neutro
giro,positivo
usina,positivo
empresarial,neutro
prestação serviços,positivo
auditores,neutro
cancelamento,negativo
formulário,neutro
market,positivo
milhão,positivo
valor total,positivo
isa,neutro
colaboradores,positivo
entrega,positivo
geral ordinária,litigiosa
prospecto,positivo
gae,neutro
atualizado,positivo
barris,positivo
alavancagem,positivo
despesas operacionais,negativo
faturamento,positivo
ação ordinária,litigiosa
diário,neutro
sustentável,positivo
terceiro,neutro
agências,neutro
fornecedores,neutro
latibex,neutro
imobiliário,neutro
agenda,neutro
passivos,negativo
títulos valores,neutro
execução,litigiosa
instrumentos,neutro
alimentos,neutro
inflação,negativo
cartões,neutro
bndes,neutro
sede cidade,neutro
sujeita,incerteza
pedidos firmes,positivo
coordenador,neutro
comércio,neutro
jurídica,litigiosa
econômicas,positivo
conversão,neutro
imobiliários,positivo
definido,neutro
lançamento,positivo
soluções,positivo
mineração,incerteza
despesa,negativo
contratadas,positivo
cartão,neutro
adquiridas,positivo
energias,positivo
equivalentes,neutro
exploração,positivo
ofertas,positivo
bônus,positivo
negociações,positivo
liderança,positivo
além disso,neutro
minério,positivo
share,neutro
totalizando,positivo
segundo significado,neutro
governamentais,positivo
negociação refletem,positivo
engenharia,positivo
diários,neutro
geração caixa,positivo
instalada,positivo
acompanhamento empresas,positivo
conselheiro,neutro
coordenadores,neutro
diretor vicepresidente,neutro
informar acionistas,positivo
intermediários,neutro
representativas,positivo
listagem,positivo
água,neutro
sociais,positivo
fatos relevantes,positivo
transmissão energia,positivo
custódia,positivo
notícias,neutro
correspondente,neutro
ferro,positivo
oportunidade,positivo
controladora,positivo
sentido,neutro
acordos,positivo
melhores práticas,positivo
bens,neutro
consolidação,positivo
ganhos,positivo
inadimplência,negativo
agência nacional,neutro
números,neutro
cdi,neutro
pago,positivo
espécie,neutro
material,neutro
yoy,neutro
mídia,neutro
vida,neutro
executivos,neutro
vigor,positivo
relevante divulgado,positivo
nenhuma,neutro
pereira,neutro
cvm sep,litigiosa
sinergias,positivo
tema,neutro
palavras,neutro
instrumento,neutro
ministério,neutro
alguns,neutro
bom,positivo
transparência,positivo
cinquenta,neutro
poder,neutro
ambiental,positivo
cambial,incerteza
noventa,neutro
rural,positivo
siderúrgica,litigiosa
estrutura administrativa,positivo
protocolo,neutro
índices,neutro
laudo,litigiosa
corporativo,neutro
reorganização,neutro
frente,neutro
entregas,positivo
próprias,positivo
físicas,neutro
arquivados,neutro
rpk,neutro
detém,positivo
obras,positivo
informa acionistas,positivo
mudança,neutro
reuniões,positivo
anúncio,positivo
bolsa balcão,positivo
milhões reais,positivo
aumentar,positivo
histórico,neutro
aberto,neutro
produtividade,positivo
civil,litigiosa
públicos,positivo
municípios,positivo
units,neutro
celebrado,positivo
informamos,positivo
quantidade ações,neutro
otimização,positivo
prêmios,positivo
interessados,positivo
publicado,positivo
situação,neutro
passou,positivo
guidance,incerteza
faz,positivo
lucros,positivo
reunião realizada,positivo
dívidas,negativo
melhora,positivo
ações negociadas,positivo
andamento,neutro
metas,positivo
pesquisa,neutro
relações mercado,neutro
capital giro,positivo
divulgação resultados,positivo
ceo,neutro
prévio,neutro
exercício social,neutro
informações adicionais,neutro
cargos,neutro
jurídicas,litigiosa
banco central,neutro
mercado interno,positivo
expectativa,incerteza
recesso,neutro
brasileiro informa,neutro
passivo,negativo
agente,neutro
fontes,neutro
cobertura,neutro
unitário,neutro
management,neutro
condições mercado,neutro
esclarecimento,neutro
necessidade,neutro
potenciais,positivo
preliminar,neutro
premissas,neutro
manual,neutro
passado,neutro
necessárias,neutro
sobre eventos,neutro
colocação,neutro
diversas,neutro
encargos,negativo
petróleo gás,neutro
concorrência,neutro
escala,positivo
regional,neutro
relacionamento investidores,positivo
minério ferro,neutro
passando,neutro
receita bruta,positivo
impactos,neutro
superintendente,neutro
ampla,neutro
tratamento,neutro
ponto,neutro
sucesso,positivo
disse,neutro
programas,neutro
perante,neutro
todo mundo,neutro
prêmio,positivo
presidente conselho,neutro
aluguel,neutro
bjs,neutro
busca,neutro
consta,neutro
igual,neutro
parceiros,neutro
daqueles,neutro
exportações,positivo
compra ações,positivo
contatos,neutro
cnpj comunicado,neutro
contados,neutro
objetivos,positivo
curso,positivo
critério,neutro
plano negócios,positivo
titularidade,neutro
cple,litigiosa
decisões,positivo
poço,neutro
sobre notícia,neutro
securities,neutro
condição,neutro
inovação,positivo
recorde,positivo
mantém,positivo
líquidos,neutro
apresentar,positivo
transformação,positivo
etapa,neutro
tenda,neutro
brasil,neutro
rio,neutro
www,neutro
brasileiro,positivo
américa,positivo
bovespa,positivo
sul,positivo
petróleo brasileiro,positivo
linhas aéreas,positivo
norte,positivo
fbovespa,neutro
eua,positivo
brasília,neutro
aéreas inteligentes,positivo
assembléia,positivo
china,positivo
chile,positivo
belo horizonte,neutro
minas gerais,positivo
estados unidos,positivo
assembléia geral,positivo
américa latina,positivo
paraná,positivo
investidores email,positivo
nove,neutro
áfrica,neutro
www informações,neutro
oito,neutro
república chile,neutro
argentina,neutro
santo,neutro
curitiba,neutro
http,neutro
sudeste,neutro
américa norte,neutro
iorque,neutro
nova iorque,neutro
paulista,neutro
brasil américa,neutro
estado rio,neutro
valores paulo,neutro
oriente médio,neutro
rejeitar rejeitar,litigiosa
quarenta,neutro
santa,neutro
américa sul,neutro
sessenta,neutro
ásia,neutro
vôos,neutro
setenta,neutro
méxico,neutro
site www,neutro
sede brasil,neutro
norte europa,neutro
europa oriente,neutro
médio áfrica,neutro
oitenta,neutro
áfrica china,neutro
inglês,neutro
português,neutro
perda,negativo
critérios,neutro
ofíciocvm,litigiosa
registradas,neutro
venda ações,positivo
multa,litigiosa
previsão,incerteza
ofício cvm,litigiosa
quarto,neutro
anteriores,neutro
ações tesouraria,neutro
destaque,positivo
interesses,neutro
práticas governança,positivo
permite,positivo
reconhecimento,positivo
instalações,neutro
respectivo,neutro
presente data,neutro
líquido milhões,positivo
direito recesso,litigiosa
implantação,positivo
detentores,neutro
acionista controlador,neutro
indicados,neutro
nordeste,neutro
formulário referência,positivo
estudos,neutro
propostas,positivo
ton,neutro
excluindo,positivo
instruções,neutro
membro conselho,neutro
atenção,positivo
aumentou,positivo
distribuição pública,positivo
informações consideradas,neutro
ofíciocvm sep,litigiosa
autorização,neutro
aberta fato,neutro
assembleias,positivo
margem bruta,positivo
complemento,neutro
press,neutro
mil reais,positivo
deter,neutro
consideradas importantes,positivo
operacionais financeiros,positivo
pagar,positivo
votos,neutro
circulante,positivo
acionário,positivo
fundação,positivo
enviado,positivo
gerencial,positivo
possibilidade,incerteza
setores,positivo
indicação,neutro
novas ações,positivo
analistas,positivo
suporte,positivo
usd,positivo
canais,neutro
emissões,positivo
contrato compra,litigiosa
instrução cvmconforme,neutro
respectivas,positivo
auditores independentes,positivo
exportação,positivo
esforços,positivo
garantir,positivo
titular,positivo
cativo,positivo
registrada,positivo
classificação,positivo
terrenos,positivo
divulgar,positivo
minoritários,positivo
últimos meses,positivo
pib,positivo
dessa forma,positivo
expectativas administração,positivo
resgate,positivo
comparado,negativo
receita operacional,positivo
fiscais,litigiosa
administração reunião,negativo
escriturais,neutro
data emissão,neutro
market share,positivo
mil toneladas,neutro
pública aquisição,positivo
celebração,positivo
profissionais,neutro
findo,neutro
ebit,positivo
brasileiro relações,negativo
período ano,neutro
perspectiva,neutro
edição,neutro
vendas contratadas,positivo
opa,neutro
renova,positivo
aviso prévio,positivo
observado,neutro
promissórias,litigiosa
alegre,positivo
empreendimento,positivo
calendário,neutro
duzentos,neutro
manterá acionistas,positivo
prazos,neutro
duvidosa,litigiosa
metros,neutro
brasileiro relacionamento,neutro
tel documento,neutro
centers,neutro
seguro,positivo
produtos serviços,neutro
datas,neutro
integrada,positivo
definição,neutro
international,positivo
simples,positivo
exposição,neutro
nenhum,neutro
úteis,positivo
mercado intermediários,positivo
básico,neutro
hipótese,incerteza
contexto,neutro
estimado,positivo
líquido ajustado,positivo
entregues,positivo
elétricas,positivo
consolidada,positivo
iniciativas,positivo
corporativos,positivo
meta,positivo
ações circulação,positivo
última,neutro
departamento,neutro
níveis,neutro
públicas,positivo
telecomunicações,positivo
autoridades,neutro
oficial,positivo
conteúdo,neutro
incluir,positivo
ganho,positivo
resultado operacional,positivo
complementares,positivo
contínuo,positivo
adesão,positivo
credores,positivo
mix,neutro
primeiro semestre,neutro
escritura,positivo
divulgação informações,positivo
esclarecer,positivo
livres,positivo
tribunal,litigiosa
venda valores,positivo
margens,positivo
gerência,positivo
orçamento,positivo
laudo avaliação,positivo
institucionais,positivo
precedentes,positivo
empreendimentos imobiliários,positivo
família,neutro
toda,neutro
assessoria imprensa,positivo
consolidadas,positivo
adrs,positivo
aplicações,positivo
cvmcomissão,litigiosa
cvmcomissão valores,litigiosa
decorrente,positivo
preço médio,positivo
meio sistema,positivo
valor acionistas,positivo
participar,positivo
airlines,positivo
alocação,positivo
vendida,positivo
marketing,positivo
questão,incerteza
despesas administrativas,positivo
diários destinos,positivo
milhões toneladas,positivo
períodos,positivo
instituições financeiras,positivo
sujeitas mudanças,positivo
coordenador líder,positivo
estratégica,positivo
emissão debêntures,positivo
gerente geral,positivo
press release,positivo
notas promissórias,positivo
controle acionário,positivo
recorrentes,neutro
american,neutro
portugal,neutro
mudanças aviso,positivo
diesel,neutro
quotas,neutro
ampliação,positivo
proposta administração,positivo
formação,positivo
brasil bolsa,neutro
apoio,positivo
parcerias,positivo
reembolso,positivo
contribuições,positivo
adquirir,positivo
necessário,positivo
consumidor,neutro
encontrase,neutro
sócios,positivo
transcrito,neutro
correspondentes,positivo
estratégias,positivo
projeção,positivo
ratings,positivo
mercado brasileiro,positivo
reduzir,positivo
virtude,positivo
representam,positivo
lucro bruto,positivo
totalidade ações,positivo
apresentadas,positivo
combustíveis,neutro
feita,positivo
programa recompra,positivo
escritórios,positivo
troca,positivo
liquidação duvidosa,litigiosa
ofertante,positivo
mercado doméstico,positivo
registros,neutro
var var,neutro
credit,positivo
contribuição social,neutro
recompra ações,positivo
concessionárias,neutro
representantes,neutro
participação mercado,neutro
voto compra,litigiosa
frança,neutro
rio grande,neutro
tarifária,neutro
ação preferencial,positivo
perspectivas crescimento,neutro
positivo,positivo
inclusão,positivo
estável,positivo
localizado,neutro
estabelecido,positivo
retenção,neutro
constam,neutro
próximo,neutro
ágio,neutro
carteiras,neutro
efetiva,positivo
tais considerações,neutro
parcial,neutro
prestar,positivo
fundo investimento,positivo
entidades,neutro
mercado cativo,positivo
recebido,positivo
retirada,positivo
subsidiária integral,positivo
proporção,neutro
atribuições,neutro
constante,positivo
características,neutro
imediata,positivo
online,neutro
complexo,incerteza
útil,positivo
últimos anos,neutro
finais,neutro
aviação comercial,neutro
eletrônico,neutro
dias úteis,positivo
cresceu,positivo
judiciais,litigiosa
melhorias,positivo
milhões margem,positivo
derivados,neutro
localizada,positivo
deliberações,positivo
gastos,negativo
maneira,positivo
ressaltar,positivo
dependem substancialmente,positivo
assinado,positivo
mercado externo,neutro
divulgou,positivo
integralmente,positivo
trezentos,positivo
diagnósticos,incerteza
inferior,negativo
requisitos,neutro
feito,positivo
assuntos,neutro
comitês,neutro
privada,neutro
concluída,positivo
processamento,neutro
obtidos,neutro
volume vendas,neutro
envolvendo,litigiosa
quadro,neutro
siderúrgicas,neutro
emissor,neutro
renováveis,positivo
afetar,incerteza
capacidade instalada,neutro
satisfação,positivo
águas,neutro
carros,neutro
shopping centers,neutro
agregada,neutro
carne,neutro
carta,neutro
competitividade,positivo
padrões,neutro
consultoria,neutro
dessa empresa,neutro
estoques,neutro
menores,negativo
presentes,positivo
desenvolver,positivo
criação valor,positivo
geral relações,neutro
apresentado,positivo
mencionado,neutro
circunstâncias,incerteza
referidos,neutro
condições precedentes,incerteza
demonstrações contábeis,neutro
boa,positivo
disponibilidade,neutro
centros,neutro
ordinárias preferenciais,litigiosa
classes,neutro
dividendo,positivo
tributos,neutro
adquiriu,positivo
padrão,neutro
cominatória,litigiosa
fabricação,positivo
oscilações,incerteza
composição controle,litigiosa
sujeito,neutro
multa cominatória,litigiosa
adoção,positivo
bancário,neutro
pode ser,incerteza
dólares,neutro
externos,neutro
regime,neutro
patamar,neutro
aberta nire,litigiosa
divulgação arquivados,neutro
entendimento,neutro
vigente,neutro
autorizado cnpj,litigiosa
além riscos,incerteza
outras receitas,positivo
apresentados documentos,neutro
exclusivamente expectativas,incerteza
direito preferência,litigiosa
saneamento básico,positivo
cabe,neutro
bilhões bilhões,neutro
maioria,neutro
rent,positivo
organização,neutro
pouco,negativo
força,positivo
aérea baixo,negativo
renda contribuição,positivo
funções,neutro
aproximadamente milhões,neutro
forma agregada,negativo
espírito,positivo
aplicação multa,litigiosa
covid,incerteza
milhas,positivo
voos diários,positivo
relativo,neutro
tractebel,positivo
fixa,neutro
primeiros,positivo
custo baixa,positivo
veracidade,incerteza
vivo,positivo
esclarecimentos adicionais,neutro
renda fonte,positivo
ana,positivo
complementar,positivo
desinvestimentos,positivo
estimativas resultados,neutro
próprias ações,positivo
distribuidora,positivo
eficiente,positivo
casa,neutro
original,neutro
uruguai,neutro
ano passado,neutro
madri,neutro
estabelecidas,positivo
apenas projeções,neutro
executivo finanças,positivo
josé campos,positivo
utilizados,positivo
estimativas declarações,neutro
comunicados,positivo
petroquímica,positivo
usinas siderúrgicas,positivo
prestadas,positivo
veiculadas,positivo
mercado internacional,positivo
suposições,incerteza
vila,neutro
créditos liquidação,positivo
unidos américa,positivo
especiais,positivo
obtenção,positivo
baixa tarifa,positivo
maior aérea,positivo
vice,positivo
declarações futuras,incerteza
casado,neutro
doze,positivo
webcast,neutro
indicador,neutro
suspensão,incerteza
calculado,neutro
agregado,neutro
máxima,positivo
pacífico,positivo
site relações,neutro
equivalência,neutro
outras despesas,neutro
mínima,positivo
privados,neutro
quaisquer esclarecimentos,neutro
regulatório,neutro
negócio estimativas,neutro
disponibilidades,neutro
preliminares,neutro
população,neutro
geração valor,positivo
anualmente,neutro
materiais,neutro
município,neutro
website www,neutro
altamente,positivo
instalação,neutro
