word,tone,sentiment
custaram,-1,negative
custas,-1,negative
custeada,-1,negative
custeadas,-1,negative
custeado,-1,negative
custeados,-1,negative
custeamos,-1,negative
custeando,-1,negative
custear,-1,negative
custearam,-1,negative
custeia,-1,negative
custeou,-1,negative
custosa,-1,negative
custosas,-1,negative
custosos,-1,negative
custou,-1,negative
danificada,-1,negative
danificados,-1,negative
danificando,-1,negative
danificar,-1,negative
danos,-1,negative
danosa,-1,negative
danosas,-1,negative
danoso,-1,negative
danosos,-1,negative
debitada,-1,negative
debitadas,-1,negative
debitado,-1,negative
debitados,-1,negative
debito,-1,negative
debitos,-1,negative
decadencia,-1,negative
decaiu,-1,negative
decepcao,-1,negative
decepcionantes,-1,negative
decepcionar,-1,negative
declinado,-1,negative
declinando,-1,negative
declinante,-1,negative
declinantes,-1,negative
declinar,-1,negative
declinaram,-1,negative
declinio,-1,negative
declinios,-1,negative
declinou,-1,negative
declive,-1,negative
decremento,-1,negative
decresca,-1,negative
decrescendo,-1,negative
decrescente,-1,negative
decrescentes,-1,negative
decrescer,-1,negative
decresceram,-1,negative
decresceu,-1,negative
decrescido,-1,negative
decrescimo,-1,negative
decrescimos,-1,negative
deducoes,-1,negative
deficiencia,-1,negative
deficiencias,-1,negative
deficit,-1,negative
deficitaria,-1,negative
deficitarias,-1,negative
deficitario,-1,negative
deficitarios,-1,negative
deficits,-1,negative
demagogico,-1,negative
demissao,-1,negative
demissionais,-1,negative
demissional,-1,negative
demissoes,-1,negative
demitidos,-1,negative
demitir,-1,negative
demolicao,-1,negative
demolidos,-1,negative
demora,-1,negative
demorada,-1,negative
demoradas,-1,negative
demorado,-1,negative
demoram,-1,negative
demorando,-1,negative
demorar,-1,negative
demoras,-1,negative
demorou,-1,negative
dependencia,-1,negative
dependencias,-1,negative
dependente,-1,negative
dependentes,-1,negative
depreciacao,-1,negative
depreciacoes,-1,negative
desaceleracao,-1,negative
desafia,-1,negative
desafiada,-1,negative
desafiado,-1,negative
desafiador,-1,negative
desafiadora,-1,negative
desafiadoras,-1,negative
desafiadores,-1,negative
desafiados,-1,negative
desafiam,-1,negative
desafiante,-1,negative
desafiantes,-1,negative
desafio,-1,negative
desafios,-1,negative
desaquecida,-1,negative
desaquecido,-1,negative
desaquecidos,-1,negative
desaquecimento,-1,negative
desconta,-1,negative
descontada,-1,negative
descontadas,-1,negative
descontado,-1,negative
descontados,-1,negative
descontando,-1,negative
descontar,-1,negative
descontarmos,-1,negative
descontassemos,-1,negative
descontavel,-1,negative
descontentamento,-1,negative
descontinuacao,-1,negative
descontinuada,-1,negative
descontinuadas,-1,negative
descontinuado,-1,negative
descontinuados,-1,negative
descontinuamos,-1,negative
descontinuando,-1,negative
descontinuar,-1,negative
descontinuidade,-1,negative
descontinuidades,-1,negative
descontinuou,-1,negative
desconto,-1,negative
descontos,-1,negative
descontou,-1,negative
descontratacao,-1,negative
descontratada,-1,negative
descontratadas,-1,negative
descontratados,-1,negative
descontratar,-1,negative
descontrolada,-1,negative
descontrole,-1,negative
desembolsa,-1,negative
desembolsada,-1,negative
desembolsadas,-1,negative
desembolsado,-1,negative
desembolsados,-1,negative
desembolsamos,-1,negative
desembolsando,-1,negative
desembolsar,-1,negative
